channelA1,channelB1
-0.005,0
-0.005,0
-0.01,0
-0.02,0
-0.005,0
0.005,0
-0.005,0
-0.005,0
-0.01,0
-0.025,0
0,0
0.015,0
0,0
-0.005,0
-0.01,0
-0.025,0
0,0
0.005,0
-0.005,0
-0.005,0
-0.01,0
-0.03,0
0,0
0.01,0
-0.005,0
-0.01,0
-0.01,0
-0.03,0
0.005,0
0.005,0
-0.01,0
-0.005,0
-0.005,0
-0.03,0
0.005,0
0.01,0
-0.01,0
-0.01,0
-0.01,0
-0.03,0
0.01,0
0.01,0
-0.01,0
-0.01,0
-0.005,0
-0.035,0
0.005,0
0.005,0
-0.005,0
-0.01,0
-0.005,0
-0.035,0
0.01,0
0.01,0
-0.01,0
-0.015,0
-0.005,0
-0.03,0
0.005,0
0.005,0
-0.005,0
-0.01,0
0,0
-0.03,0
0.01,0
0.01,0
-0.01,0
-0.015,0
0,0
-0.03,0
0.01,0
0.005,0
-0.005,0
-0.005,0
-0.005,0
-0.035,0
0.01,0
0.01,0
-0.01,0
-0.01,0
0,0
-0.03,0
0.01,0
0.005,0
-0.01,0
-0.01,0
0,0
-0.025,0
0.015,0
0.01,0
-0.01,0
-0.015,0
-0.005,0
-0.02,0
0.015,0
0.005,0
-0.005,0
-0.01,0
0,0
-0.02,0
0.015,0
0.005,0
-0.01,0
-0.02,0
-0.01,0
-0.015,0
0.01,0
0,0
-0.01,0
-0.015,0
-0.01,0
-0.015,0
0.015,0
0.005,0
-0.005,0
-0.015,0
-0.015,0
-0.005,0
0.015,0
0,0
-0.005,0
-0.01,0
-0.01,0
-0.005,0
0.015,0
0.005,0
0,0
-0.005,0
-0.015,0
0.005,0
0.025,0
0.005,0
0,0
0,0
-0.02,0
0.01,0
0.02,0
0.005,0
0,0
0.01,0
-0.025,0
0.005,0
0.02,0
0.005,0
0.005,0
0.005,0
-0.02,0
0.015,0
0.025,0
0.01,0
0.005,0
0.005,0
-0.02,0
0.01,0
0.02,0
0.01,0
0.01,0
0,0
-0.03,0
0.02,0
0.02,0
0.005,0
0.005,0
0.01,0
-0.02,0
0.025,0
0.015,0
0.005,0
0.01,0
0.01,0
-0.02,0
0.025,0
0.02,0
0.01,0
0.005,0
0.015,0
-0.01,0
0.025,0
0.015,0
0.005,0
0.005,0
0.015,0
-0.005,0
0.025,0
0.02,0
0.01,0
0,0
0.01,0
-0.005,0
0.03,0
0.015,0
0.005,0
0,0
0.005,0
0.005,0
0.03,0
0.01,0
