U_1,I_1,U_2,I_2,U_3,I_3,U_4,I_4
-2.2,-2.8,-2.7,-2.3,-3.2,-1.8,-3.75,-1.2
-2.2,-2.8,-2.7,-2.3,-3.2,-1.8,-3.75,-1.25
-2.2,-2.8,-2.7,-2.3,-3.2,-1.8,-3.75,-1.25
-2.2,-2.75,-2.7,-2.25,-3.2,-1.75,-3.75,-1.2
-2.2,-2.75,-2.7,-2.25,-3.2,-1.75,-3.75,-1.2
-2.2,-2.7,-2.7,-2.2,-3.2,-1.7,-3.75,-1.15
-2.2,-2.7,-2.7,-2.2,-3.2,-1.7,-3.75,-1.15
-2.2,-2.65,-2.7,-2.15,-3.15,-1.7,-3.75,-1.1
-2.2,-2.65,-2.7,-2.15,-3.15,-1.65,-3.75,-1.1
-2.2,-2.65,-2.7,-2.15,-3.15,-1.7,-3.75,-1.1
-2.2,-2.6,-2.7,-2.1,-3.15,-1.65,-3.75,-1.05
-2.2,-2.6,-2.7,-2.1,-3.15,-1.65,-3.7,-1.1
-2.2,-2.55,-2.7,-2.05,-3.15,-1.6,-3.7,-1.05
-2.2,-2.55,-2.7,-2.05,-3.15,-1.6,-3.7,-1.05
-2.2,-2.5,-2.65,-2,-3.15,-1.55,-3.7,-1
-2.2,-2.5,-2.65,-2,-3.15,-1.55,-3.7,-1
-2.2,-2.45,-2.65,-2,-3.15,-1.5,-3.7,-0.95
-2.2,-2.45,-2.65,-2,-3.15,-1.5,-3.7,-0.95
-2.2,-2.45,-2.65,-2,-3.15,-1.5,-3.7,-0.95
-2.15,-2.45,-2.65,-1.95,-3.15,-1.45,-3.65,-0.95
-2.15,-2.45,-2.65,-1.95,-3.15,-1.45,-3.65,-0.95
-2.15,-2.4,-2.65,-1.9,-3.1,-1.45,-3.65,-0.9
-2.15,-2.4,-2.65,-1.9,-3.1,-1.45,-3.65,-0.9
-2.15,-2.35,-2.65,-1.85,-3.1,-1.4,-3.65,-0.85
-2.15,-2.35,-2.65,-1.85,-3.1,-1.4,-3.65,-0.85
-2.15,-2.35,-2.65,-1.85,-3.1,-1.4,-3.65,-0.85
-2.15,-2.3,-2.65,-1.8,-3.1,-1.35,-3.65,-0.8
-2.15,-2.3,-2.65,-1.8,-3.1,-1.35,-3.6,-0.8
-2.15,-2.25,-2.65,-1.75,-3.1,-1.3,-3.6,-0.8
-2.15,-2.25,-2.65,-1.75,-3.1,-1.3,-3.6,-0.8
-2.15,-2.2,-2.6,-1.7,-3.1,-1.25,-3.6,-0.75
-2.15,-2.2,-2.6,-1.75,-3.1,-1.3,-3.6,-0.75
-2.15,-2.2,-2.6,-1.75,-3.05,-1.25,-3.6,-0.75
-2.15,-2.15,-2.6,-1.7,-3.05,-1.25,-3.6,-0.7
-2.15,-2.15,-2.6,-1.7,-3.05,-1.25,-3.6,-0.7
-2.15,-2.1,-2.6,-1.65,-3.05,-1.2,-3.55,-0.7
-2.15,-2.1,-2.6,-1.65,-3.05,-1.2,-3.55,-0.7
-2.1,-2.05,-2.6,-1.6,-3.05,-1.15,-3.55,-0.65
-2.1,-2.05,-2.6,-1.6,-3.05,-1.15,-3.55,-0.65
-2.1,-2.05,-2.6,-1.55,-3.05,-1.1,-3.5,-0.6
-2.1,-2.05,-2.6,-1.55,-3.05,-1.1,-3.5,-0.65
-2.1,-2.05,-2.6,-1.55,-3.05,-1.1,-3.5,-0.65
-2.1,-2,-2.6,-1.5,-3,-1.1,-3.5,-0.6
-2.1,-2,-2.6,-1.5,-3,-1.1,-3.5,-0.6
-2.1,-1.95,-2.55,-1.5,-3,-1.05,-3.5,-0.55
-2.1,-1.95,-2.55,-1.45,-3,-1.05,-3.5,-0.55
-2.1,-1.9,-2.55,-1.45,-3,-1,-3.45,-0.55
-2.1,-1.9,-2.55,-1.45,-3,-1,-3.45,-0.55
-2.1,-1.9,-2.55,-1.45,-3,-1,-3.45,-0.55
-2.1,-1.85,-2.55,-1.4,-3,-0.95,-3.45,-0.5
-2.1,-1.85,-2.55,-1.4,-3,-0.95,-3.45,-0.5
