TIME,Ux,Uy
-5.000e-02,-0.867188,1.19844
-4.997e-02,-1.25781,1.18437
-4.994e-02,-2.01563,1.17047
-4.990e-02,-2.91406,1.15094
-4.987e-02,-3.42969,1.14219
-4.984e-02,-4.76563,1.12594
-4.981e-02,-5.05469,1.11609
-4.978e-02,-5.69531,1.10422
-4.974e-02,-6.82031,1.08594
-4.971e-02,-7.17969,1.06859
-4.968e-02,-8.0625,1.05078
-4.965e-02,-8.9375,1.03937
-4.962e-02,-9.28125,1.01937
-4.958e-02,-10.2891,1.00547
-4.955e-02,-10.9375,0.995469
-4.952e-02,-11.2969,0.967813
-4.949e-02,-12.2188,0.95875
-4.946e-02,-12.9375,0.945937
-4.942e-02,-13.1406,0.926094
-4.939e-02,-14.0859,0.911094
-4.936e-02,-14.9219,0.891719
-4.933e-02,-15.0547,0.877969
-4.930e-02,-15.8281,0.862969
-4.926e-02,-16.6719,0.842812
-4.923e-02,-16.9375,0.825781
-4.920e-02,-17.1406,0.810937
-4.917e-02,-18.2031,0.796406
-4.914e-02,-18.9063,0.782813
-4.910e-02,-19.1016,0.762188
-4.907e-02,-19.2031,0.746875
-4.904e-02,-19.7188,0.727969
-4.901e-02,-20.1797,0.714375
-4.898e-02,-20.7031,0.696719
-4.894e-02,-21.0547,0.674531
-4.891e-02,-21.5313,0.658438
-4.888e-02,-21.7188,0.635625
-4.885e-02,-22.5234,0.617344
-4.882e-02,-22.7656,0.603594
-4.878e-02,-23.0547,0.580937
-4.875e-02,-23.1484,0.556406
-4.872e-02,-23.5625,0.547188
-4.869e-02,-24.3984,0.525469
-4.866e-02,-24.8594,0.504531
-4.862e-02,-24.9375,0.493281
-4.859e-02,-25.0547,0.465469
-4.856e-02,-25.2891,0.447031
-4.853e-02,-26,0.43125
-4.850e-02,-26.5859,0.407344
-4.846e-02,-26.7422,0.394062
-4.843e-02,-26.9766,0.369844
-4.840e-02,-27.1484,0.35125
-4.837e-02,-27.2578,0.328437
-4.834e-02,-27.5703,0.303594
-4.830e-02,-28.0859,0.283594
-4.827e-02,-28.7031,0.26125
-4.824e-02,-28.875,0.234531
-4.821e-02,-28.8203,0.213594
-4.818e-02,-28.9375,0.19125
-4.814e-02,-29.0547,0.170156
-4.811e-02,-29.2266,0.139844
-4.808e-02,-29.5,0.114375
-4.805e-02,-29.8516,0.0957812
-4.802e-02,-30.3516,0.071875
-4.798e-02,-30.4531,0.0459375
-4.795e-02,-30.75,0.0175
-4.792e-02,-30.9063,-0.00109375
-4.789e-02,-30.9375,-0.0264062
-4.786e-02,-31.0547,-0.0542188
-4.782e-02,-31.0625,-0.078125
-4.779e-02,-31.1641,-0.103594
-4.776e-02,-31.2656,-0.124219
-4.773e-02,-31.6719,-0.150469
-4.770e-02,-31.7891,-0.169687
-4.766e-02,-32.125,-0.191562
-4.763e-02,-32.5859,-0.218125
-4.760e-02,-32.9375,-0.240156
-4.757e-02,-32.8906,-0.264219
-4.754e-02,-33.0547,-0.286719
-4.750e-02,-33.5703,-0.304531
-4.747e-02,-34.5859,-0.328906
-4.744e-02,-34.1875,-0.3475
-4.741e-02,-34.8516,-0.376406
-4.738e-02,-34.9141,-0.396562
-4.734e-02,-34.9375,-0.419531
-4.731e-02,-35.0547,-0.449844
