Zeit t ;U_A1;U_B1
0,3;0;2,68
0,4;0,03;3,365
0,5;0,06;2,68
0,6;0,09;2,685
0,7;0,12;2,69
0,8;0,15;2,695
0,9;0,18;2,695
1;0,21;2,71
1,1;0,24;2,7
1,2;0,27;2,7
1,3;0,3;2,69
1,4;0,325;2,7
1,5;0,36;2,7
1,6;0,39;2,7
1,7;0,42;2,7
1,8;0,45;2,7
1,9;0,48;2,7
2;0,505;2,7
2,1;0,535;2,7
2,2;0,565;2,7
2,3;0,595;2,7
2,4;0,625;2,7
2,5;0,655;2,7
2,6;0,685;2,7
2,7;0,715;2,705
2,8;0,745;2,7
2,9;0,775;2,7
3,003;0,805;2,705
3,1;0,835;2,705
3,2;0,86;2,705
3,3;0,89;2,705
3,4;0,925;2,725
3,5;0,955;2,75
3,6;0,98;2,8
3,7;1,01;2,845
3,8;1,04;2,89
3,9;1,07;2,925
4;1,1;2,96
4,1;1,13;2,995
4,2;1,16;3,025
4,3;1,19;3,06
4,4;1,22;3,09
4,5;1,245;3,125
4,6;1,275;3,16
4,7;1,305;3,195
4,8;1,335;3,225
4,9;1,365;3,26
5;1,395;3,295
5,1;1,425;3,325
5,2;1,455;3,36
5,3;1,485;3,4
5,4;1,515;3,435
5,5;1,545;3,47
5,6;1,575;3,51
5,7;1,6;3,545
5,8;1,63;3,585
5,9;1,66;3,625
6;1,69;3,665
6,1;1,72;3,705
6,2;1,75;3,75
6,3;1,78;3,77
6,4;1,81;3,78
6,5;1,835;3,745
6,6;1,865;3,695
6,7;1,895;3,64
6,8;1,925;3,58
6,9;1,955;3,515
7;1,985;3,445
7,1;2,015;3,37
7,2;2,045;3,285
7,3;2,075;3,215
7,4;2,1;3,145
7,501;2,135;3,075
7,6;2,16;3,015
7,7;2,19;2,955
7,8;2,22;2,9
7,9;2,25;2,85
8;2,28;2,8
8,1;2,31;2,755
8,2;2,34;2,71
8,3;2,37;2,67
8,4;2,4;2,63
8,5;2,425;2,595
8,6;2,455;2,565
8,7;2,485;2,54
8,8;2,515;2,515
8,9;2,545;2,495
9;2,57;2,47
9,1;2,6;2,485
9,2;2,63;2,55
9,3;2,66;2,7
9,4;2,69;2,875
9,5;2,72;3,03
9,6;2,75;3,145
9,7;2,775;3,25
9,8;2,805;3,34
9,9;2,835;3,455
10;2,865;3,59
10,1;2,895;3,73
10,2;2,925;3,85
10,3;2,955;3,965
10,4;2,98;4,08
10,5;3,01;4,19
10,6;3,04;4,295
10,7;3,07;4,395
10,8;3,1;4,48
10,9;3,13;4,565
11;3,16;4,65
11,1;3,19;4,73
11,2;3,215;4,81
11,3;3,245;4,89
11,4;3,275;4,965
11,5;3,305;5,035
11,6;3,335;5,105
11,7;3,365;5,175
11,8;3,39;5,245
11,9;3,42;5,315
12;3,45;5,395
12,1;3,48;5,47
12,2;3,51;5,53
12,3;3,535;5,55
12,4;3,57;5,525
12,5;3,595;5,465
12,6;3,625;5,405
12,7;3,655;5,345
12,8;3,685;5,285
12,9;3,715;5,215
13,001;3,74;5,14
13,1;3,77;5,045
13,2;3,8;4,96
13,3;3,83;4,87
13,4;3,86;4,775
13,5;3,89;4,67
13,6;3,92;4,565
13,7;3,95;4,455
13,8;3,975;4,34
13,9;4,005;4,215
14;4,035;4,08
14,1;4,065;3,945
14,2;4,095;3,815
14,3;4,12;3,675
14,4;4,155;3,55
14,5;4,18;3,43
14,601;4,21;3,315
14,7;4,24;3,205
14,8;4,27;3,11
14,9;4,295;3,045
15;4,325;3,05
15,1;4,355;3,11
15,2;4,385;3,175
15,3;4,415;3,205
15,4;4,445;3,215
15,5;4,47;3,22
15,602;4,5;3,25
15,7;4,53;3,33
15,8;4,56;3,44
15,9;4,59;3,54
16;4,62;3,625
16,1;4,645;3,705
16,2;4,675;3,8
16,3;4,705;3,905
16,4;4,735;4,02
16,5;4,76;4,145
16,6;4,79;4,26
16,7;4,82;4,38
16,8;4,85;4,495
16,9;4,88;4,61
17;4,91;4,73
17,1;4,935;4,845
17,2;4,965;4,965
17,302;4,995;5,075
17,4;5,02;5,195
17,5;5,05;5,32
17,6;5,08;5,475
17,7;5,11;5,67
17,8;5,135;5,87
17,9;5,165;6,08
18;5,195;6,28
18,1;5,225;6,475
