items,minutes
13,2.65
25,4.00
34,5.30
44,6.26
48,7.04
51,7.84
60,8.53
64,9.15
68,9.82
68,10.47
78,11.08
83,11.67
86,12.27
89,12.95
92,13.56
96,14.22
100,14.77
104,15.41
107,16.05
111,16.67
115,17.32
120,17.92
123,18.56
129,19.12
129,19.71
134,20.30
157,23.71
157,24.50
165,25.08
169,25.74
172,26.58
176,27.31
179,28.04
182,28.65
187,29.38
192,29.99
195,30.66
199,31.28
204,31.92
207,32.61
212,33.33
216,34.10
223,34.87
223,35.60
228,36.34
235,37.09
235,37.90
242,38.57
247,39.22
250,39.94
255,40.61
260,41.33
264,41.97
274,42.56
279,43.25
282,43.94
285,44.56
292,45.23
297,45.85
302,46.56
305,47.22
309,47.90
314,48.64
316,49.26
320,49.87
324,50.58
328,51.21
334,51.80
337,52.49
341,53.22
344,53.99
349,54.70
357,55.39
360,56.12
365,56.86
370,57.64
379,58.30
382,58.99
387,59.67
391,60.48
394,61.25
399,61.95
406,62.58
410,63.28
415,64.01
418,64.67
426,65.32
