items,minutes
9,1.66
21,3.00
32,4.50
46,5.60
51,6.78
60,7.84
66,8.87
76,9.98
80,11.03
86,12.01
94,12.91
102,13.91
111,14.92
120,15.86
123,16.83
128,17.80
132,18.77
135,19.70
143,20.57
150,21.70
158,22.65
162,23.63
168,24.54
176,25.46
180,26.41
187,27.33
196,28.50
205,29.48
208,30.42
215,31.49
218,32.42
226,33.28
229,34.09
237,34.93
241,35.70
248,36.61
253,37.42
261,38.28
265,39.07
270,39.94
278,40.85
281,41.75
291,42.65
296,43.56
303,44.46
306,45.39
311,46.43
319,47.38
322,48.37
330,49.29
333,50.28
341,51.24
350,52.05
353,52.97
361,53.77
368,54.77
372,55.74
380,56.64
385,57.53
392,58.44
400,59.40
404,60.33
413,61.19
416,62.28
423,63.20
427,64.15
