items,minutes
19,2.53
37,4.39
43,5.96
69,9.26
105,13.87
133,18.35
166,22.77
204,27.48
228,32.30
259,36.76
290,41.13
329,45.75
364,50.60
392,55.27
428,59.58
455,64.11
485,68.94
512,73.69
541,78.16
573,82.52
605,87.26
637,91.97
667,96.17
693,100.56
730,105.03
761,109.73
799,114.23
830,118.66
862,123.07
894,127.83
926,132.60
957,137.02
994,141.49
1025,146.32
1058,151.11
1086,155.75
1112,160.35
1144,165.05
1179,169.77
1211,174.44
1241,178.92
1274,183.40
1302,188.23
1329,193.01
1358,197.25
1388,201.64
1415,206.40
1451,211.14
1478,215.57
1510,219.91
1536,224.46
1563,229.32
1599,234.04
1632,238.43
1663,242.92
1691,247.76
1721,252.57
1748,256.94
1778,261.29
1807,265.96
1845,270.64
1872,275.21
1903,279.65
1933,284.15
1968,289.01
2000,293.73
2031,298.08
2057,302.43
2089,307.16
2121,311.94
2152,316.26
2181,320.67
2211,325.32
2244,329.96
2274,334.56
2307,338.89
2339,343.37
2371,348.15
2399,352.82
2431,357.13
2462,361.55
